# name | category | version | description | zip | tar.gz

anysearch | 网络与搜索 | 3.1.1 | 统一实时搜索引擎技能：通用网页搜索、垂直领域搜索（金融/学术/旅行/法律/代码等 17 个领域，先 get_sub_domains 发现子域再搜索）、并行批量搜索、整页内容提取。内置跨平台 CLI 脚本直接调用公开 HTTP 端点，无需安装 MCP 服务器。当用户需要「搜索/查资料/事实核查/读取网页内容/按股票号、CVE、DOI 等标识符查结构化信息/多个独立查询并行执行」时使用。匿名可用，API Key 可提升限额。 | https://iamsamyiok.github.io/skillhub/downloads/anysearch.zip | https://iamsamyiok.github.io/skillhub/downloads/anysearch.tar.gz
book-to-skill | 知识转化 | 1.1.0 | 书籍→技能包转化（Book-to-Skill）：把一本书、长文档或章节笔记提炼成符合规范的可复用 SKILL.md 技能包。当用户要求"把这本书变成技能""从文档提取方法论""生成 SKILL.md""把知识转化为工作流"或类似意图时使用。convert a book or long document into a reusable skill package | https://iamsamyiok.github.io/skillhub/downloads/book-to-skill.zip | https://iamsamyiok.github.io/skillhub/downloads/book-to-skill.tar.gz
d2-chart | 开发工具 | 1.0.0 | D2 图表生成：自然语言转 D2 图表，JSON 中间层防错设计（LLM 产 spec、脚本转换、结构校验 + 编译器验证双层拦截），浏览器本地 WASM 渲染，产单文件离线预览页，可导出 SVG/PNG/PDF。适用于流程图、系统架构图、关系图、组织架构图、简单 ER 图。当用户要求画图、画架构图/流程图/拓扑图、生成 D2 源码、把描述转成图表时使用。d2 diagram, chart generation, architecture diagram | https://iamsamyiok.github.io/skillhub/downloads/d2-chart.zip | https://iamsamyiok.github.io/skillhub/downloads/d2-chart.tar.gz
doc-to-md | 文档处理 | 1.0.0 | 统一文档转 Markdown 技能：Word(.doc/.docx)/Excel/PPT/PDF/RTF/EPUB/CSV 全格式覆盖，自动降级链路 anydoc(本地Rust,毫秒级) → SiliconFlow OCR(扫描件,免费) → markitdown(备选)，无硬编码密钥。当用户需要"把文档转成md/转markdown/提取内容"时使用。 | https://iamsamyiok.github.io/skillhub/downloads/doc-to-md.zip | https://iamsamyiok.github.io/skillhub/downloads/doc-to-md.tar.gz
docx | 文档处理 | 1.0.0 | Word 文档处理技能：创建、读取、编辑、操作 Word 文档（.docx）与模板（.dotx）。支持生成带目录、标题、页码、信头的专业文档，提取与重组内容，插入或替换图片，查找替换，处理修订与批注，以及把报告/备忘录/信函等交付为 Word 文件。当用户提到「Word 文档」「.docx」「做份报告/模板」时使用；PDF、表格、Google Docs 或与文档生成无关的编码任务请勿使用。 | https://iamsamyiok.github.io/skillhub/downloads/docx.zip | https://iamsamyiok.github.io/skillhub/downloads/docx.tar.gz
find-skills | 开发工具 | 1.0.0 | 帮助用户发现并安装 Agent 技能：当用户问「怎么做 X」「找一个能做 X 的技能」「有没有技能可以…」或想扩展 Agent 能力时使用。适用于用户需要的功能可能已存在为可安装技能的场景。 | https://iamsamyiok.github.io/skillhub/downloads/find-skills.zip | https://iamsamyiok.github.io/skillhub/downloads/find-skills.tar.gz
firecrawl | 网络与搜索 | 1.0.0 | 通过 Firecrawl CLI 执行各类实时网页任务：网页搜索、读取与提取页面、收集资料来源、发现站点 URL、批量抓取、整站下载、变更告警，以及需要点击或登录的页面——仅限网页；本地文件请走 firecrawl-parse。论文调研用 firecrawl-research-index；库、API、报错、Bug 类问题用 firecrawl-developer-index。 | https://iamsamyiok.github.io/skillhub/downloads/firecrawl.zip | https://iamsamyiok.github.io/skillhub/downloads/firecrawl.tar.gz
grilling | 需求梳理 | 1.0.0 | 拷问式需求访谈（Grilling）：对计划、决策或想法进行多轮穷追式提问压力测试，按轮次展开设计树，每题附推荐答案。当用户想压测自己的方案、梳理需求，或提到 grill/拷问/挑战我的想法 时使用。stress-test a plan or decision | https://iamsamyiok.github.io/skillhub/downloads/grilling.zip | https://iamsamyiok.github.io/skillhub/downloads/grilling.tar.gz
handoff | 工作流 | 1.0.0 | Hand off the current work to another AI coding tool (Codex), or resume work that another tool handed off, via a structured HANDOFF.md document in the project root. Use when the user wants to switch between Claude Code and Codex mid-task, "hand off", "交接", "save progress for the other tool", "pick up / resume / 接续 where the other tool left off", or run `/handoff save` or `/handoff resume`. | https://iamsamyiok.github.io/skillhub/downloads/handoff.zip | https://iamsamyiok.github.io/skillhub/downloads/handoff.tar.gz
image-analysis | 图像理解 | 1.0.1 | 识图理解（图片分析）：描述图片内容、提取图中文字（OCR）、分析页面/设计稿布局、比较图片。当用户给出图片并要求分析、理解、识别、提取文字、描述、总结、审查布局时使用。支持公网图片 URL 与本地图片（先上传）。 | https://iamsamyiok.github.io/skillhub/downloads/image-analysis.zip | https://iamsamyiok.github.io/skillhub/downloads/image-analysis.tar.gz
mcp-builder | 开发工具 | 1.0.0 | 创建高质量 MCP（Model Context Protocol）服务器的指南：通过设计良好的工具让大模型与外部服务交互。构建 MCP 服务器集成外部 API 或服务时使用，支持 Python（FastMCP）与 Node/TypeScript（MCP SDK）两种技术栈。 | https://iamsamyiok.github.io/skillhub/downloads/mcp-builder.zip | https://iamsamyiok.github.io/skillhub/downloads/mcp-builder.tar.gz
oss-scout | 研究分析 | 1.0.0 | 智能选型 GitHub 开源项目：自然语言需求 → 搜索 → 深读 → 对比推荐报告。Use when 用户想找开源项目、开源替代品、选型对比、评估某个 repo 是否可用，或提到"站在开源肩膀上""找现成的库/框架/工具"。 | https://iamsamyiok.github.io/skillhub/downloads/oss-scout.zip | https://iamsamyiok.github.io/skillhub/downloads/oss-scout.tar.gz
page-visual-review | 前端开发 | 1.1.0 | 前端界面视觉审查 skill：给网页 URL 或截图，用 AGNES agnes-2.5-flash 识图模型以资深前端 QA 视角全方位审查（美观/结构/可用性/一致性四维评分 + 16 类 LLM 生成页面高频缺陷模式库 + 响应式三视口对比 + 放大微观复查），输出精确、Agent 可直接执行修复的结构化问题报告与改进建议。适用于：Agent 生成前端后的自检、页面验收、布局问题排查、美化改进。 | https://iamsamyiok.github.io/skillhub/downloads/page-visual-review.zip | https://iamsamyiok.github.io/skillhub/downloads/page-visual-review.tar.gz
pdf | 文档处理 | 1.0.0 | PDF 全能处理技能：读取或提取 PDF 中的文本与表格、合并多个 PDF、拆分 PDF、旋转页面、加水印、生成新 PDF、填写表单、加密解密、提取图片，以及对扫描件 OCR 使其可搜索。当用户提到 .pdf 文件或需要产出 PDF 时使用。 | https://iamsamyiok.github.io/skillhub/downloads/pdf.zip | https://iamsamyiok.github.io/skillhub/downloads/pdf.tar.gz
planning-with-files | 工作流 | 1.0.0 | 面向多步骤 Agent 工作的持久化文件式规划：在磁盘上维护 task_plan.md、findings.md、progress.md 三个文件，生命周期钩子注入选定的项目规划上下文；自动恢复仅读取项目规划文件。适用于需要 5 次以上工具调用的研究或工作任务，断点续跑、进度可追溯。 | https://iamsamyiok.github.io/skillhub/downloads/planning-with-files.zip | https://iamsamyiok.github.io/skillhub/downloads/planning-with-files.tar.gz
pptx | 文档处理 | 1.0.0 | PowerPoint 处理技能：凡涉及 .pptx 或 .potx 文件（输入、输出或两者）即触发——创建幻灯片、路演稿与演示文稿；读取、解析或提取任意 .pptx/.potx 的文字内容；编辑、修改、更新已有演示；合并或拆分幻灯片文件；处理模板（.potx）、版式、演讲者备注与批注。当用户提到「幻灯片」「演示文稿」「PPT」或给出 .pptx/.potx 文件名时使用。 | https://iamsamyiok.github.io/skillhub/downloads/pptx.zip | https://iamsamyiok.github.io/skillhub/downloads/pptx.tar.gz
program-to-gif | 视频创作 | 1.0.0 | 把命令行程序/终端演示录制成高质量 GIF（README 配图、文档嵌入）：自包含 demo 脚本 → VHS tape 声明式录制 → ink 帧分析定位内容边界 → gifsicle 裁剪压缩。沉淀了低内存环境下 vhs 录制卡死、chromium 渲染停摆、pty 背压冻结演示进程等全部踩坑经验与诊断流程。当用户想"给程序做演示 GIF / 终端录屏转 GIF / README 放动图"时使用。 | https://iamsamyiok.github.io/skillhub/downloads/program-to-gif.zip | https://iamsamyiok.github.io/skillhub/downloads/program-to-gif.tar.gz
recorder2skill | 技能开发 | 1.1.2 | 把一段真实屏幕录制转化为可复用的 Agent 技能。当用户要求录制任务时使用（如「录下我操作的过程」「看我做一遍然后自动化」「把这个变成技能」），支持 Windows 与 Linux；通过 shell 命令驱动内置的 recorder2skill CLI，任何能执行命令、读取文件的 Agent 均可用。 | https://iamsamyiok.github.io/skillhub/downloads/recorder2skill.zip | https://iamsamyiok.github.io/skillhub/downloads/recorder2skill.tar.gz
show-deploy | 开发工具 | 1.0.0 | 临时静态站点部署（Show Deploy）：把项目构建产物打包上传到 Show 托管，获得 48 小时自动过期的公网预览 URL，仅需 bash+tar+curl 无需安装 CLI。当用户说 deploy to show、发布预览、preview this site、想要前端构建的临时在线链接时使用。temporary static hosting preview | https://iamsamyiok.github.io/skillhub/downloads/show-deploy.zip | https://iamsamyiok.github.io/skillhub/downloads/show-deploy.tar.gz
skill-creator | 技能开发 | 1.0.0 | 技能创建器（Skill Creator）：从零创建新技能、修改和改进现有技能、运行评估测试（evals）、做技能性能基准分析、优化技能描述的触发准确率。当用户想创建、编辑、优化、评测任何 skill 时使用。create, improve, and evaluate agent skills | https://iamsamyiok.github.io/skillhub/downloads/skill-creator.zip | https://iamsamyiok.github.io/skillhub/downloads/skill-creator.tar.gz
skill-updater | 技能开发 | 0.2.0 | 本地 skill 自进化更新器：基于 AutoSkill（arXiv:2603.01145）官方 SkillEvo 组件（vendored，MIT）。双折回放验收（mutate_dev/promotion_test）、混合变异（启发式+LLM）、程序化+LLM 二元规则评估，分数超过 champion 才晋升，连续 2 轮无晋升自动熔断。仅依赖 pyyaml 与 httpx，LLM 可用任何 OpenAI 兼容端点。当用户要「更新/进化某个技能」「优化本地 SKILL.md」时使用。 | https://iamsamyiok.github.io/skillhub/downloads/skill-updater.zip | https://iamsamyiok.github.io/skillhub/downloads/skill-updater.tar.gz
slides-maker | 文档处理 | 1.0.0 | 制作、重设计、评审演示级幻灯片（.pptx）：科研组会、工作汇报、大会演讲、答辩、教学、网络研讨会均适用。支持有模板（跟随模板风格）或无模板（自动设计干净版式），可从提供的代码/文档/图表取材，也可联网调研并核查事实，中英文皆可。当用户想"做幻灯片/做个PPT/把内容转成slides/优化排版太挤的页面/评审我的演示稿"时使用。 | https://iamsamyiok.github.io/skillhub/downloads/slides-maker.zip | https://iamsamyiok.github.io/skillhub/downloads/slides-maker.tar.gz
